Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_Radius,Planet_Mass,Tday,Temp_equilibrium,log10g_p,Period,Transit_Duration,K_mag,Distance,Temp_stellar_eff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1464 c,0.0,0.0,0.005,0.09,0.002891,1369.0,1151.0,2.956,5.3279,4.6781,12.5,692.0,5828.0,4.44,True,exoplanets.org
Kepler-268 c,0.0,0.0,0.006,0.3,0.034421,643.0,541.0,2.972,83.4464,7.219,12.4,,6081.0,4.287,True,exoplanets.org
Kepler-1465 b,0.0,0.0,0.004,0.16,0.013058,540.0,454.0,3.113,31.8277,1.584,12.0,350.0,4726.0,4.62,True,exoplanets.org
Kepler-1466 b,0.0,0.0,0.002,0.14,0.011584,772.0,649.0,3.178,31.175,3.9679,12.4,686.0,5884.0,4.43,True,exoplanets.org
Kepler-1467 b,0.0,0.0,0.006,0.29,0.032559,562.0,472.0,2.97,47.0569,5.2722,13.6,890.0,5332.0,4.55,True,exoplanets.org
Kepler-269 b,0.0,0.001,0.005,0.22,0.019315,1342.0,1129.0,2.994,5.3267,3.387,14.0,,5847.0,4.5,True,exoplanets.org
Kepler-1468 b,0.0,0.0,0.003,0.15,0.01275,1216.0,1023.0,3.125,8.2398,5.617,13.5,1130.0,5893.0,4.42,True,exoplanets.org
Kepler-1468 c,0.0,0.0,0.003,0.1,0.004851,1611.0,1355.0,3.054,3.5455,4.1688,13.5,1130.0,5893.0,4.42,True,exoplanets.org
Kepler-1469 b,0.0,0.0,0.004,0.25,0.023683,771.0,649.0,2.973,21.8635,3.582,14.1,1255.0,5507.0,4.51,True,exoplanets.org
Kepler-261 b,0.0,0.001,0.011,0.19,0.016324,853.0,717.0,3.029,10.3812,2.759,11.6,,5098.0,4.561,True,exoplanets.org
Kepler-1470 b,0.0,0.0,0.003,0.1,0.003649,725.0,610.0,3.001,16.2951,3.6439,12.9,569.0,4961.0,4.59,True,exoplanets.org
